symbol,exchange,tickSz,tickBps,avgPx,avgVol,avgNtl,volatility,dailyRange,tickRange,startDate,endDate,Hawkes mu,Hawkes alpha,Hawkes beta,Hawkes score,Trade rate,Avg trade size,Std trade size,Total vol,Sqrt law cost,Quote regression R2,Quote regression coeff,Avg quote size,Std quote size,Instant cost,Avg spread,Std spread,ACFTest,OFI R2,Perm cost,Ratio (Instant/Sqrt Cost),Ratio (Instant/Perm Cost),Ratio (TradeSz/QuoteSz)
VCYT,NASDAQ,0.01,3.88,25.8016,646007,16668014,0.9438,1.2972,130,2019-07-01,2019-11-01,0.019,0.0775,0.371,14.5852,0.024,96.314,99.5775,8283,163.5868,38.4091,0.0001,213.7821,208.4298,72.0851,0.062,0.0413,0111111111,65.9482,39.1995,0.4407,1.8389,0.4505
VFF,NASDAQ,0.01,9.73,10.2747,856315,8798380,0.4256,0.6446,64,2019-07-01,2019-11-01,0.0044,0.063,0.4739,0.0202,0.0051,408.4,612.7361,6126,185.2454,12.7958,0,490.5225,708.3093,5.5252,0.0263,0.0117,0111111111,70.5634,13.1256,0.0298,0.421,0.8326
VG,NASDAQ,0.01,8.27,12.0852,2540943,30707804,0.298,0.347,35,2019-07-01,2019-11-01,0.0241,0.0443,0.371,4.2218,0.0274,156.8878,156.3196,15375,110.2751,47.8248,0,599.877,429.4287,22.1167,0.0138,0.0062,0111111111,86.2684,12.19,0.2006,1.8143,0.2615
VGIT,NASDAQ,0.01,1.5,66.4701,350663,23308605,0.1717,0.1729,17,2019-07-01,2019-11-01,0.0041,0.2139,0.8634,1.1743,0.0054,177,158.941,1416,11.552,46.0451,0,3064.9091,2629.1754,0.1842,0.0291,0.0299,0111111111,10.3909,0.0117,0.0159,15.7286,0.0578
VGSH,NASDAQ,0.01,1.64,60.9191,528898,32219990,0.052,0.059,6,2019-07-01,2019-11-01,0.0033,0.0532,0.371,5.6172,0.0039,1693.25,3179.9959,13546,3.8174,4.5201,0,5397.4444,10579.3141,0.0359,0.0163,0.0055,0111111111,3.2071,0.0192,0.0094,1.866,0.3137
VIAV,NASDAQ,0.01,7,14.2892,1938974,27706387,0.27,0.3608,36,2019-07-01,2019-11-01,0.0513,0.1905,0.7828,13.1248,0.0678,106.0086,89.3371,24700,84.5028,40.9343,0,672.3067,510.7989,30.0052,0.0123,0.0046,0111111111,94.6384,15.7622,0.3551,1.9036,0.1577
VIRT,NASDAQ,0.01,5.24,19.0715,1020914,19470361,0.5438,0.5842,58,2019-07-01,2019-11-01,0.041,0.1305,0.371,50.7815,0.0632,139.9912,141.2801,31638,127.5174,24.735,0,362.2571,513.8855,21.1745,0.0174,0.0077,0111111111,85.3631,49.9518,0.1661,0.4239,0.3864
VIVE,NASDAQ,0.01,7.06,14.1705,4106963,58197719,2.9268,1.5651,157,2019-07-01,2019-11-01,0.0809,0.0708,0.4916,2.6371,0.0945,424.0537,641.0665,142058,923.6828,16.31,0,656.4686,1052.6776,228.3256,0.0269,0.0202,0111111111,92.7815,621.4511,0.2472,0.3674,0.646
VLY,NASDAQ,0.01,9.22,10.845,1571995,17048286,0.166,0.2419,24,2019-07-01,2019-11-01,0.0324,0.0322,0.9878,0.2644,0.0335,166.0167,151.4236,19922,68.4532,53.7693,0,1049.6886,989.5107,12.7381,0.0115,0.0036,0111111111,89.1787,5.7446,0.1861,2.2174,0.1582
VMBS,NASDAQ,0.01,1.88,53.0721,619977,32903481,0.066,0.081,8,2019-07-01,2019-11-01,0.0182,0.015,0.2976,0.0204,0.0191,581.0323,787.1087,18012,5.5615,22.3915,0,1627.1833,1557.2728,1.5337,0.013,0.0067,0111111111,40.3742,0.9819,0.2758,1.5619,0.3571
