symbol,exchange,tickSz,tickBps,avgPx,avgVol,avgNtl,volatility,dailyRange,tickRange,startDate,endDate,Hawkes mu,Hawkes alpha,Hawkes beta,Hawkes score,Trade rate,Avg trade size,Std trade size,Total vol,Sqrt law cost,Quote regression R2,Quote regression coeff,Avg quote size,Std quote size,Instant cost,Avg spread,Std spread,ACFTest,OFI R2,Perm cost,Ratio (Instant/Sqrt Cost),Ratio (Instant/Perm Cost),Ratio (TradeSz/QuoteSz)
ADPT,NASDAQ,0.01,2.67,37.4665,505493,18939053,1.8549,2.7612,276,2019-07-01,2019-11-01,0.0079,0.0166,0.371,0.547,0.0083,137.6538,150.134,3579,221.4075,8.474,0.0001,175.703,156.7849,11.1428,0.1706,0.1188,0111111111,4.0273,4.4581,0.0503,2.4995,0.7834
ADUS,NASDAQ,0.01,1.23,81.5941,153970,12563044,1.5263,2.4469,245,2019-07-01,2019-11-01,0.007,0,0.6842,0.007,0.007,50,59.9129,450,83.6558,34.3646,0.0009,131.3175,80.834,9.6812,0.2675,0.119,0111111111,1.2769,-0.027,0.1157,-358.8508,0.3808
ADVM,NASDAQ,0.01,10.05,9.9528,1833130,18244776,0.8745,0.8058,81,2019-07-01,2019-11-01,0.0182,0.1198,0.371,40.6525,0.0268,103.0737,109.337,9792,392.943,51.2677,0,208.0995,158.9194,50.5382,0.0211,0.0124,0111111111,2.9334,4.6913,0.1286,10.7727,0.4953
AEIS,NASDAQ,0.01,1.84,54.3955,270888,14735088,1.3923,1.7069,171,2019-07-01,2019-11-01,0.0058,0.1844,0.7828,10.9519,0.0076,104.9,122.3711,2098,114.4682,36.6688,0.0005,90.4909,68.8786,34.6706,0.1415,0.0927,0111111111,1.1521,0.2225,0.3029,155.8355,1.1592
AERI,NASDAQ,0.01,4.51,22.1498,1172100,25961781,0.8714,1.3029,130,2019-07-01,2019-11-01,0.0306,0.1544,0.6204,10.9221,0.0407,106.8552,91.7297,15494,175.9393,34.3793,0.0001,202.5305,161.5029,88.6702,0.0406,0.0257,0111111111,9.1458,9.838,0.504,9.0131,0.5276
AFIN,NASDAQ,0.01,7.85,12.734,669420,8524394,0.1771,0.34,34,2019-07-01,2019-11-01,0.0103,0.0595,0.6204,1.3254,0.0114,66.2286,59.9209,2318,62.1969,54.8931,0,183.6017,102.1529,11.2174,0.024,0.0111,0111111111,69.2805,6.3247,0.1804,1.7736,0.3607
AFYA,NASDAQ,0.01,3.88,25.7956,413172,10658020,1.3994,1.6562,166,2019-07-01,2019-11-01,0.0034,0.0451,0.371,3.459,0.0039,281.9091,182.2024,3101,242.6114,51.2598,0.0003,129.4762,75.1748,79.6179,0.2945,0.1748,0111111111,14.2786,0.5098,0.3282,156.1626,2.1773
AGIO,NASDAQ,0.01,2.56,38.9903,612741,23890955,1.2114,1.7578,176,2019-07-01,2019-11-01,0.0252,0.2706,0.9878,21.5005,0.0347,110.0175,85.7966,12542,138.946,40.8808,0.0002,112.6442,86.9728,182.1103,0.0991,0.0573,0111111111,62.3328,23.6049,1.3107,7.7149,0.9767
AGNC,NASDAQ,0.01,6.1,16.3829,5070677,83072394,0.1758,0.225,22,2019-07-01,2019-11-01,0.0409,0.1127,0.9878,3.1353,0.0461,245.697,337.0798,40540,47.9892,57.5247,0,2711.9269,2271.7731,7.0585,0.0116,0.0037,0111111111,80.4265,3.6387,0.1471,1.9398,0.0906
AIMC,NASDAQ,0.01,3.53,28.304,456762,12928192,1.0533,0.9638,96,2019-07-01,2019-11-01,0.0077,0.0944,0.3088,8.6786,0.0112,105.3684,79.6276,4004,166.4253,39.9697,0.0001,115.8895,89.9311,39.2677,0.0656,0.0402,0111111111,5.1593,0.9668,0.2359,40.6151,0.9092
AIMT,NASDAQ,0.01,4.61,21.6967,944906,20501342,0.8057,0.9648,96,2019-07-01,2019-11-01,0.0126,0.2578,0.9878,18.4906,0.017,93.069,80.1864,5398,166.0713,32.9247,0.0001,146.806,89.6078,45.9867,0.0434,0.028,0111111111,33.4208,10.5403,0.2769,4.3629,0.634
ALKS,NASDAQ,0.01,4.78,20.9051,1302917,27237610,0.6324,0.9892,99,2019-07-01,2019-11-01,0.0334,0.1296,0.371,49.8138,0.0513,113.2275,91.0483,18909,135.2865,37.1509,0.0001,182.5453,142.7149,96.1259,0.0365,0.0216,0111111111,0.6619,3.4328,0.7105,28.0019,0.6203
ALLK,NASDAQ,0.01,1.47,67.9059,581880,39513085,4.6516,3.9477,395,2019-07-01,2019-11-01,0.0112,0.0574,0.371,7.354,0.0133,122.2121,92.2243,4033,306.3443,52.5211,0.0019,85.7879,102.744,195.6685,0.3872,0.2083,0111111111,7.2505,4.1985,0.6387,46.604,1.4246
ALLO,NASDAQ,0.01,3.55,28.1731,353029,9945921,0.7648,1.1807,118,2019-07-01,2019-11-01,0.0083,0.0502,0.371,5.4686,0.0096,68,104.7963,2108,121.4027,53.3196,0.0004,130.8359,99.6688,55.7692,0.1205,0.1001,0111111111,1.0683,-0.7594,0.4594,-73.4392,0.5197
ALNY,NASDAQ,0.01,1.25,80.0663,688860,55154471,1.8302,2.8464,285,2019-07-01,2019-11-01,0.0212,0.1517,0.371,70.2809,0.0359,120.736,185.1558,15092,102.2266,34.5271,0.0004,73.4866,67.2278,156.1128,0.1454,0.0976,0111111111,37.132,30.9432,1.5271,5.0451,1.643
ALRM,NASDAQ,0.01,2.06,48.5852,342999,16664675,0.8496,1.4162,142,2019-07-01,2019-11-01,0.0035,0.2192,0.4916,35.5173,0.0063,68.3529,71.8732,1162,78.2034,33.9291,0.0006,93.4583,48.1652,25.7173,0.1444,0.0813,0111111111,17.3263,-0.4212,0.3289,-61.0555,0.7314
ALTR,NASDAQ,0.01,2.74,36.5163,395201,14431278,0.9716,1.114,111,2019-07-01,2019-11-01,0.0044,0.0357,0.371,2.5173,0.0048,40.0833,41.0923,481,118.9914,26.5899,0.0001,113.9247,100.9138,3.632,0.0896,0.0517,0111111111,51.1961,-0.4817,0.0305,-7.5399,0.3518
AMAG,NASDAQ,0.01,9.28,10.7769,1071553,11548020,0.5689,0.6445,64,2019-07-01,2019-11-01,0.0135,0.0375,0.6515,0.1574,0.0143,82.8039,80.5751,4223,236.0788,28.5335,0,203.7322,231.6786,17.3513,0.036,0.0165,0111111111,76.4415,11.0889,0.0735,1.5648,0.4064
AMBA,NASDAQ,0.01,1.9,52.5914,674913,35494620,1.5504,1.6065,161,2019-07-01,2019-11-01,0.0287,0.174,0.7828,10.6007,0.037,176.5769,300.2779,22955,131.839,16.076,0.0001,147.6075,102.8063,48.501,0.0896,0.0552,0111111111,16.015,17.7902,0.3679,2.7263,1.1963
AMCX,NASDAQ,0.01,1.99,50.3457,471565,23741270,0.8887,1.2591,126,2019-07-01,2019-11-01,0.022,0.2654,0.9878,20.7083,0.0302,56.3689,61.1095,5806,78.9419,28.5312,0.0002,77.1288,69.6035,44.382,0.0674,0.044,0111111111,18.6804,-2.4401,0.5622,-18.1883,0.7308
AMD,NASDAQ,0.01,3.21,31.1814,56058544,1747983884,0.9408,1.0559,106,2019-07-01,2019-11-01,0.3898,0.2655,0.7828,29.7047,0.5898,262.3343,507.3831,554837,134.9325,60.7095,0,3583.9361,3277.9491,37.1562,0.0125,0.005,0111111111,96.3568,23.376,0.2754,1.5895,0.0732
AMKR,NASDAQ,0.01,11.02,9.0714,949237,8610909,0.5191,0.3201,32,2019-07-01,2019-11-01,0.0104,0.0114,0.371,0.2632,0.0107,203.3158,140.0474,7726,255.9126,55.9372,0,402.7421,230.0228,20.0518,0.0149,0.0062,0111111111,55.11,9.8015,0.0784,2.0458,0.5048
AMWD,NASDAQ,0.01,1.16,86.0285,157113,13516196,1.5875,2.7507,275,2019-07-01,2019-11-01,0.0033,0.1323,0.371,37.2749,0.0051,78.25,81.0582,1252,82.5252,35.098,0.002,105.0923,67.6461,54.692,0.5357,0.3325,0111111111,1.2467,-0.2365,0.6627,-231.2737,0.7446
ANAB,NASDAQ,0.01,2.26,44.3334,297690,13197610,1.5163,2.1954,220,2019-07-01,2019-11-01,0.0407,0.1423,0.371,63.5103,0.066,107.7682,114.0545,25110,152.9569,20.3796,0.0002,207.4104,183.8164,229.3073,0.0847,0.076,0111111111,4.0548,18.9146,1.4992,12.1233,0.5196
ANGI,NASDAQ,0.01,10.74,9.3091,1912085,17799790,0.3935,0.3431,34,2019-07-01,2019-11-01,0.0153,0.1473,0.9878,5.4527,0.0179,154.9841,183.1193,9764,189.0393,25.0015,0,457.6872,351.2245,37.5157,0.0137,0.0057,0111111111,84.2372,19.0489,0.1985,1.9694,0.3386
ANIK,NASDAQ,0.01,1.86,53.7002,205169,11017616,2.6066,2.0517,205,2019-07-01,2019-11-01,0.0082,0.3271,0.9878,32.9459,0.0123,82.275,88.6132,3291,217.0768,38.2404,0.001,104.25,74.9259,116.0202,0.2961,0.1829,0111111111,39.9766,9.1174,0.5345,12.7251,0.7892
ANIP,NASDAQ,0.01,1.34,74.6824,156017,11651724,1.5631,2.4497,245,2019-07-01,2019-11-01,0.0052,0.1388,0.371,50.4684,0.0082,47.3077,51.185,1230,93.6016,41.0476,0.0012,111.044,97.8498,36.8841,0.3007,0.2373,0111111111,0.6094,0.4047,0.3941,91.1334,0.426
APLS,NASDAQ,0.01,3.67,27.242,526881,14353292,0.9582,1.4384,144,2019-07-01,2019-11-01,0.0182,0.1224,0.371,42.8696,0.0272,194.7674,270.8745,16750,157.3013,34.0995,0.0001,155.7477,158.2574,161.2738,0.0625,0.0437,0111111111,9.2653,12.7311,1.0253,12.6677,1.2505
APPN,NASDAQ,0.01,2.14,46.724,689859,32232972,1.6421,2.2125,221,2019-07-01,2019-11-01,0.0093,0.2019,0.371,170.7885,0.0205,65.1429,71.3955,4560,157.1718,28.5354,0.0002,160.9076,100.8315,28.211,0.1187,0.0513,0111111111,62.9158,4.7542,0.1795,5.934,0.4048
ARCC,NASDAQ,0.01,5.4,18.5122,1519165,28123086,0.1504,0.1895,19,2019-07-01,2019-11-01,0.048,0.1277,0.371,48.1088,0.0732,221.1081,234.6908,57267,36.3333,56.5357,0,1676.3078,1514.3969,17.6213,0.0119,0.0039,0111111111,91.9668,8.8546,0.485,1.9901,0.1319
ARNA,NASDAQ,0.01,1.86,53.8717,419107,22578007,1.2169,1.7727,177,2019-07-01,2019-11-01,0.0129,0.3558,0.6204,95.3892,0.0303,78.2989,82.3624,6812,101.0204,32.2789,0.0002,136.0912,210.6131,73.1677,0.111,0.0578,0111111111,44.2073,16.6828,0.7243,4.3858,0.5753
ARWR,NASDAQ,0.01,3.22,31.027,1299400,40316484,1.0233,1.4708,147,2019-07-01,2019-11-01,0.0357,0.1807,0.7828,11.4503,0.0464,138.3497,140.8225,22551,147.4953,43.8032,0.0001,192.4012,177.2901,165.6656,0.0595,0.0325,0111111111,46.3625,53.0031,1.1232,3.1256,0.7191
ATNX,NASDAQ,0.01,6.69,14.9395,833486,12451864,0.6354,0.7916,79,2019-07-01,2019-11-01,0.0172,0.0845,0.371,17.7297,0.0222,133.6154,318.7683,10422,190.2068,43.8244,0,162.3421,139.2005,70.2085,0.0358,0.0182,0111111111,55.3263,53.5012,0.3691,1.3123,0.823
ATRA,NASDAQ,0.01,6.99,14.3061,783956,11215353,0.5497,0.8936,89,2019-07-01,2019-11-01,0.0127,0.2038,0.9878,11.1285,0.0161,130.4,185.4996,6520,171.8381,24.054,0,142.8352,149.639,50.9584,0.0535,0.0289,0111111111,12.5231,12.0667,0.2965,4.2231,0.9129
ATRO,NASDAQ,0.01,3.19,31.3106,292113,9146233,0.9816,1.0086,101,2019-07-01,2019-11-01,0.0096,0.1219,0.6842,0.4729,0.0117,100.3529,95.2736,3412,140.2033,31.606,0.0002,123.2615,173.1917,35.2316,0.0851,0.0564,0111111111,3.3438,-1.1917,0.2513,-29.5635,0.8141
AUB,NASDAQ,0.01,2.72,36.6993,285472,10476623,0.6221,0.9686,97,2019-07-01,2019-11-01,0.0057,0.0869,0.371,17.6025,0.0074,50.32,57.7475,1258,75.8084,16.1282,0.0002,140.1061,94.1485,11.7948,0.0795,0.0493,0111111111,15.3438,1.0891,0.1556,10.8294,0.3592
AVAV,NASDAQ,0.01,1.81,55.3347,192420,10647503,1.259,1.8658,187,2019-07-01,2019-11-01,0.0044,0,0.9758,0.0044,0.0044,123,80.5978,1845,101.7521,23.6834,0.0002,77.6071,108.0419,5.3928,0.1974,0.0871,0111111111,11.4712,0.6625,0.053,8.1406,1.5849
AVT,NASDAQ,0.01,2.35,42.5287,896633,38132636,0.8392,1.0424,104,2019-07-01,2019-11-01,0.0243,0.2031,0.9878,11.1774,0.0306,87.463,80.9211,9446,88.2467,27.7279,0.0001,102.5285,68.7372,61.1947,0.0423,0.0325,0111111111,1.6321,1.7045,0.6935,35.9016,0.8531
AXNX,NASDAQ,0.01,3.19,31.3373,265184,8310151,1.0962,1.8127,181,2019-07-01,2019-11-01,0.0052,0.5398,0.9878,125.6145,0.0114,70.8214,74.9247,1983,156.4383,29.1247,0.0002,151.5586,156.4585,35.657,0.111,0.0621,0111111111,7.0672,1.2021,0.2279,29.6629,0.4673
AXSM,NASDAQ,0.01,4.11,24.3128,849988,20665588,1.1118,1.6097,161,2019-07-01,2019-11-01,0.0165,0.2083,0.4682,117.2962,0.0297,146.6364,279.9758,14517,204.5063,29.2674,0.0001,135.1481,134.7263,177.7826,0.0821,0.0391,0111111111,64.4467,63.7099,0.8693,2.7905,1.085
BAND,NASDAQ,0.01,1.36,73.4274,246014,18064168,1.9542,3.1781,318,2019-07-01,2019-11-01,0.0261,0.0574,0.371,7.4836,0.0308,80.2911,207.2144,6343,119.0216,31.8236,0.0006,135.4028,130.909,103.2077,0.2121,0.1418,0111111111,0.2789,1.5138,0.8671,68.1774,0.593
BANR,NASDAQ,0.01,1.82,55.0085,160935,8852793,0.9421,1.373,137,2019-07-01,2019-11-01,0.0025,0.2444,0.371,323.6503,0.0074,73.5455,42.7091,1618,76.5918,14.3483,0.0003,123.902,84.1148,19.4557,0.1308,0.0937,0111111111,33.6713,1.6306,0.254,11.9316,0.5936
BBBY,NASDAQ,0.01,9.65,10.3581,8298888,85960712,0.4278,0.5353,54,2019-07-01,2019-11-01,0.0606,0.1164,0.371,38.2694,0.0883,217.9524,271.1126,68655,184.7037,73.0049,0,1009.4138,882.9404,49.6807,0.0131,0.0047,0111111111,82.7422,30.1708,0.269,1.6467,0.2159
BCOR,NASDAQ,0.01,4.16,24.0635,409771,9860524,0.7225,0.9151,92,2019-07-01,2019-11-01,0.0164,0.0556,0.4916,1.4875,0.0185,78.5538,64.2617,5106,134.2747,55.1144,0.0001,128.9734,95.5946,57.0673,0.0474,0.0284,0111111111,3.5628,2.8969,0.425,19.6997,0.6091
BEAT,NASDAQ,0.01,2.37,42.1415,305434,12871447,0.9112,1.424,142,2019-07-01,2019-11-01,0.0076,0.1089,0.371,31.2915,0.0108,88.1818,86.1111,2910,96.6983,51.4518,0.0004,166.2166,159.0884,49.6498,0.119,0.0823,0111111111,1.3077,0.3906,0.5135,127.1267,0.5305
BECN,NASDAQ,0.01,3.01,33.1883,611153,20283129,1.0203,1.0477,105,2019-07-01,2019-11-01,0.0282,0.2699,0.9878,21.2868,0.0388,91.3382,75.6087,12422,137.4858,19.7197,0.0001,191.0277,227.6788,57.5709,0.0519,0.0276,0111111111,5.0813,-3.8009,0.4187,-15.1466,0.4781
BHF,NASDAQ,0.01,2.68,37.2805,974493,36329586,0.8442,1.1373,114,2019-07-01,2019-11-01,0.0509,0.2299,0.7828,19.9907,0.072,80.2411,73.1656,20301,101.2695,14.402,0,166.8942,151.6484,29.3482,0.0391,0.0353,0111111111,10.5409,6.1533,0.2898,4.7695,0.4808
BILI,NASDAQ,0.01,6.72,14.8744,2521331,37503286,0.3014,0.4779,48,2019-07-01,2019-11-01,0.0439,0.0383,0.371,3.1416,0.0489,190.977,186.8258,33230,90.6189,37.2938,0,756.6137,1066.3766,15.8808,0.0139,0.0062,0111111111,72.2816,15.3575,0.1752,1.0341,0.2524
BJRI,NASDAQ,0.01,2.62,38.1217,483174,18419414,1.2556,1.4764,148,2019-07-01,2019-11-01,0.008,0.0866,0.371,16.5009,0.0105,95.0968,65.7269,2948,147.297,47.3308,0.0004,100.871,50.7018,55.856,0.1032,0.0741,0111111111,10.9359,-0.7535,0.3792,-74.1272,0.9428
BL,NASDAQ,0.01,2.04,49.0542,572271,28072296,1.8163,1.744,174,2019-07-01,2019-11-01,0.0141,0.2321,0.6204,29.3249,0.0225,79.2368,87.1293,6022,165.5871,35.9985,0.0003,113.5263,68.7071,65.4641,0.0908,0.0555,0111111111,0.5093,-0.8939,0.3953,-73.2378,0.698
BLDR,NASDAQ,0.01,5.13,19.4877,1090790,21256988,0.3809,0.5149,51,2019-07-01,2019-11-01,0.0447,0.0981,0.371,25.3012,0.0608,145.8426,138.4808,31502,87.4109,26.1104,0,390.336,305.0217,32.3229,0.0148,0.0069,0111111111,3.6656,5.3319,0.3698,6.0621,0.3736
BLKB,NASDAQ,0.01,1.12,88.9017,225312,20030620,1.7215,2.5091,251,2019-07-01,2019-11-01,0.0051,0.2358,0.7828,17.421,0.0073,146.5,330.2807,2930,86.5988,35.2991,0.0008,143.8654,98.7168,53.3381,0.3958,0.2642,0111111111,6.9907,1.1993,0.6159,44.4751,1.0183
BLMN,NASDAQ,0.01,5.53,18.0965,1450903,26256266,0.3488,0.5274,53,2019-07-01,2019-11-01,0.0253,0.0969,0.9878,2.2568,0.0281,150.764,107.8256,13418,86.1979,37.3448,0,328.5675,239.7954,28.3655,0.0162,0.0067,0111111111,91.2707,11.6232,0.3291,2.4404,0.4589
BMCH,NASDAQ,0.01,4.06,24.608,425931,10481310,0.436,0.6116,61,2019-07-01,2019-11-01,0.0167,0.1196,0.7828,4.5491,0.0197,180,146.7192,9180,79.2365,37.941,0.0001,149.4847,200.5766,77.0718,0.0516,0.0343,0111111111,7.7758,1.4791,0.9727,52.1055,1.2041
BMRN,NASDAQ,0.01,1.34,74.5858,1256231,93696994,1.3614,2.0697,207,2019-07-01,2019-11-01,0.0554,0.2346,0.9878,15.6523,0.0727,180.7346,254.2001,46991,81.629,11.8545,0,173.2665,213.5431,40.4719,0.057,0.0315,0111111111,57.5283,18.5067,0.4958,2.1869,1.0431
BNFT,NASDAQ,0.01,4.01,24.9456,341669,8523138,0.6309,1.0444,104,2019-07-01,2019-11-01,0.004,0.3524,0.9878,39.6521,0.0062,110,193.3889,2090,113.1049,36.4591,0.0002,124.481,86.809,27.5268,0.0933,0.0747,0111111111,18.2043,-3.4537,0.2434,-7.9702,0.8837
BOKF,NASDAQ,0.01,1.28,77.9413,154044,12006390,1.4143,1.8024,180,2019-07-01,2019-11-01,0.0035,0.0428,0.371,3.6116,0.004,85.6,59.1324,856,81.1501,39.0233,0.0011,78.2576,73.4664,25.4726,0.2956,0.2025,0111111111,0.1125,-0.0132,0.3139,-1928.0534,1.0938
BOOM,NASDAQ,0.01,2.1,47.6923,329628,15720717,1.8808,2.2593,226,2019-07-01,2019-11-01,0.0184,0.1302,0.371,49.7016,0.0283,74.0196,64.5975,3775,176.3638,27.2433,0.0004,86.4797,87.7492,70.7503,0.1321,0.074,0111111111,0.8175,-1.2932,0.4012,-54.7108,0.8559
BOTZ,NASDAQ,0.01,5.08,19.6773,654500,12878793,0.2742,0.2372,24,2019-07-01,2019-11-01,0.015,0.0401,0.371,3.4573,0.0168,152.2034,127.1256,8980,62.3185,63.1466,0,1798.4896,1988.3081,1.3173,0.0149,0.0067,0111111111,74.9668,1.7153,0.0211,0.768,0.0846
BPMC,NASDAQ,0.01,1.21,82.7902,427263,35373189,2.2931,3.3311,333,2019-07-01,2019-11-01,0.0064,0.3251,0.9878,33.093,0.0096,73.375,65.9307,2348,123.868,39.3746,0.0012,99.4828,79.8728,70.6401,0.3187,0.2068,0111111111,24.8087,10.5704,0.5703,6.6828,0.7376
BPOP,NASDAQ,0.01,1.84,54.254,509910,27664657,0.7903,1.1295,113,2019-07-01,2019-11-01,0.0169,0.0636,0.371,8.9592,0.0203,101.7361,106.5305,7325,65.1441,30.715,0.0002,104.434,66.5497,50.7137,0.0626,0.0388,0111111111,28.0376,5.0454,0.7785,10.0515,0.9742
BPY,NASDAQ,0.01,5.18,19.2917,819215,15804050,0.245,0.3163,32,2019-07-01,2019-11-01,0.0288,0.3535,0.9878,41.9601,0.0449,145.5541,118.3493,22852,56.7951,66.5012,0,627.4579,461.8235,19.1782,0.013,0.0047,0111111111,94.2087,12.0673,0.3377,1.5893,0.232
BRKR,NASDAQ,0.01,2.25,44.4551,747758,33241657,0.8468,1.086,109,2019-07-01,2019-11-01,0.0093,0.2031,0.6204,20.7339,0.0139,95.0833,82.221,4564,85.1872,47.0268,0.0002,136.9176,86.4433,44.8793,0.0685,0.037,0111111111,1.143,1.0977,0.5268,40.8837,0.6945
BRKS,NASDAQ,0.01,2.7,36.9983,415641,15378010,1.0529,1.2591,126,2019-07-01,2019-11-01,0.0073,0.1388,0.9878,4.1974,0.0085,101.3448,80.168,2939,127.2683,36.5894,0.0003,92.4012,85.9982,52.3552,0.0724,0.0526,0111111111,0.172,-0.1089,0.4114,-480.6915,1.0968
BZUN,NASDAQ,0.01,2.16,46.2672,1372414,63497753,1.5755,1.9773,198,2019-07-01,2019-11-01,0.0104,0.1372,0.6204,7.6165,0.0134,104.6,104.0941,4707,152.2861,20.8997,0.0001,198.1752,184.5282,25.7222,0.121,0.063,0111111111,80.981,15.4831,0.1689,1.6613,0.5278
CAKE,NASDAQ,0.01,2.45,40.8171,812083,33146873,0.8186,1.1451,115,2019-07-01,2019-11-01,0.0201,0.1644,0.6204,12.4484,0.0274,110.4787,85.3848,10385,89.6901,9.0707,0,193.5765,217.5237,12.3452,0.0534,0.0264,0111111111,18.8588,4.2193,0.1376,2.9259,0.5707
CALM,NASDAQ,0.01,2.44,40.9534,448424,18364487,0.8687,0.9943,99,2019-07-01,2019-11-01,0.0274,0.3397,0.7828,55.4736,0.0484,93.907,93.6208,16152,94.8626,32.583,0.0001,144.938,112.9869,80.5858,0.0379,0.0251,0111111111,35.1267,26.8287,0.8495,3.0037,0.6479
CAR,NASDAQ,0.01,3.33,30.0149,1062605,31893983,0.7684,1.0583,106,2019-07-01,2019-11-01,0.0199,0.1236,0.4916,7.9651,0.0266,100.3059,79.0319,8526,114.4894,39.2298,0.0001,144.3059,110.5588,40.0568,0.0481,0.0269,0111111111,3.966,-4.252,0.3499,-9.4207,0.6951
CARA,NASDAQ,0.01,4.53,22.0897,721851,15945472,0.7135,0.9369,94,2019-07-01,2019-11-01,0.0192,0.0959,0.4092,1.8732,0.0251,59.8315,75.5036,5325,144.4505,40.7053,0.0001,177.3118,171.4051,34.9581,0.0465,0.0242,0111111111,54.4652,15.7598,0.242,2.2182,0.3374
CARG,NASDAQ,0.01,3,33.2792,842005,28021253,0.7292,1.1258,113,2019-07-01,2019-11-01,0.0334,0.114,0.7828,4.1668,0.0391,110.2388,101.2555,14772,97.9916,8.7267,0,241.8083,200.1826,22.218,0.0395,0.0231,0111111111,17.296,10.043,0.2267,2.2123,0.4559
CATM,NASDAQ,0.01,3.3,30.3078,486887,14756474,0.8128,1.1723,117,2019-07-01,2019-11-01,0.0211,0.0854,0.6204,2.9052,0.0245,141.2317,118.7867,11581,119.9345,39.5769,0.0002,132.6129,97.738,141.3591,0.0919,0.0419,0111111111,18.2523,9.6196,1.1786,14.6949,1.065
CATY,NASDAQ,0.01,2.87,34.8985,355117,12393051,0.5606,0.7422,74,2019-07-01,2019-11-01,0.0073,0.0706,0.4092,0.9143,0.0088,94.2333,71.656,2827,71.8392,33.2814,0.0001,101.3152,76.7634,21.2493,0.0653,0.0464,0111111111,1.7975,0.2264,0.2958,93.8658,0.9301
CBSH,NASDAQ,0.01,1.68,59.4234,469166,27879439,0.7633,1.0572,106,2019-07-01,2019-11-01,0.0146,0.0826,0.371,16.7614,0.0188,91.2836,83.8417,6116,57.4451,17.1851,0.0002,103.7191,66.0399,46.8293,0.0795,0.0542,0111111111,27.3538,-3.4174,0.8152,-13.7034,0.8801
CCOI,NASDAQ,0.01,1.7,58.8137,267790,15749721,0.9998,1.3523,135,2019-07-01,2019-11-01,0.0051,0.3726,0.9878,46.5774,0.0082,90.5714,119.4677,2536,76.0238,46.6425,0.0006,76.9871,65.5107,59.1552,0.1281,0.0852,0111111111,25.0389,-0.4234,0.7781,-139.7019,1.1764
CDK,NASDAQ,0.01,2.09,47.8058,812379,38836428,0.9183,1.1593,116,2019-07-01,2019-11-01,0.011,0.256,0.9878,18.8023,0.0148,120.14,83.6803,6007,85.9051,29.1756,0.0002,110.1638,60.8547,48.7612,0.0947,0.0478,0111111111,1.2393,-0.3633,0.5676,-134.236,1.0906
CDLX,NASDAQ,0.01,3,33.3847,425813,14215639,1.1911,1.7042,170,2019-07-01,2019-11-01,0.0055,0.0391,0.6515,0.1568,0.0058,107.9,129.5233,2158,159.557,40.6585,0.0003,143.3742,134.0931,37.937,0.0994,0.0628,0111111111,13.1745,1.7393,0.2378,21.8118,0.7526
CDNA,NASDAQ,0.01,3.67,27.2538,886891,24171150,1.2032,1.6635,166,2019-07-01,2019-11-01,0.0253,0.1164,0.371,37.5878,0.0368,111.3969,184.5547,14593,197.4357,24.395,0.0001,170.0909,126.1177,96.0741,0.0746,0.0353,0111111111,74.5964,91.1687,0.4866,1.0538,0.6549
CG,NASDAQ,0.01,4.07,24.562,1170012,28737835,0.4606,0.7779,78,2019-07-01,2019-11-01,0.0519,0.1238,0.371,44.4795,0.0779,141.6617,153.3005,38107,83.8639,10.4263,0,398.8449,468.7358,36.6761,0.0206,0.0128,0111111111,35.6735,24.1355,0.4373,1.5196,0.3552
CGNX,NASDAQ,0.01,2.16,46.398,1078392,50035232,1.0904,1.3991,140,2019-07-01,2019-11-01,0.0211,0.0946,0.371,23.0528,0.0283,94.3333,68.7804,9339,105.0997,23.0856,0.0001,149.7723,109.9186,38.3403,0.0591,0.0369,0111111111,1.7836,1.1567,0.3648,33.1455,0.6298
CHNG,NASDAQ,0.01,7.45,13.4224,1328257,17828397,0.405,0.5934,59,2019-07-01,2019-11-01,0.0158,0.0916,0.371,21.297,0.021,217.3182,265.2929,14343,134.9397,53.2839,0.0001,291.9085,246.1481,172.1614,0.0357,0.0256,0111111111,18.6684,10.9376,1.2758,15.7403,0.7445
CHRS,NASDAQ,0.01,5.1,19.615,1096902,21515733,0.77,1.1122,111,2019-07-01,2019-11-01,0.0106,0.1472,0.371,68.4975,0.0175,101.8387,76.7991,6314,175.5567,20.9281,0,294.8311,850.2279,9.4426,0.0702,0.0416,0111111111,1.9777,-0.7959,0.0538,-11.8643,0.3454
COLB,NASDAQ,0.01,2.77,36.0794,258817,9337962,0.5484,0.7784,78,2019-07-01,2019-11-01,0.0047,0.0274,0.3896,0.4234,0.005,161.4118,97.4414,2744,67.9756,26.3407,0.0002,106.4022,77.1861,24.5432,0.0942,0.0527,0111111111,4.921,-0.4371,0.3611,-56.1501,1.517
COMM,NASDAQ,0.01,8.01,12.4852,4084053,50990219,0.4165,0.574,57,2019-07-01,2019-11-01,0.0968,0.2325,0.7828,21.1122,0.1377,145.8186,110.355,70722,149.1882,70.4771,0,903.6041,711.8522,64.5807,0.0126,0.0045,0111111111,52.1504,34.6887,0.4329,1.8617,0.1614
CONE,NASDAQ,0.01,1.44,69.3597,979234,67919376,1.2234,1.8271,183,2019-07-01,2019-11-01,0.0271,0.0772,0.371,14.1374,0.0342,131.7083,123.9229,15805,78.8817,19.4413,0.0002,128.048,86.7597,62.4805,0.093,0.0778,0111111111,2.717,-3.081,0.7921,-20.279,1.0286
